codigo_iso,pais,regiones_anio,regiones_dias_con_heladas,regiones_eventos_extremos,regiones_humedad_relativa_promedio,regiones_indice_aridez,regiones_meses_estres_hidrico,regiones_nombre,regiones_precipitacion_total,regiones_temperatura_maxima,regiones_temperatura_minima,regiones_temperatura_promedio
ARG,Argentina,2017,62,"",40,24.06,4,Cuyo,1074,22.5,"0,5",12.4
ARG,Argentina,2015,4,"",70,19.09,2,Cuyo,873,20.8,"0,9",12.7
ARG,Argentina,2019,111,"",64,16.19,1,Cuyo,880,29.9,"4,8",15.1
ARG,Argentina,2018,64,"",68,12.85,0,Cuyo,907,30.6,"6,6",19.6
ARG,Argentina,2016,93,"",83,29.64,0,Cuyo,1387,22.6,"7,2",13
ARG,Argentina,2014,5,"",52,18.73,0,Cuyo,937,25.4,"7,5",13.9
ARG,Argentina,4031,103,"",151,16.61,10,Cuyo,1265,64.3,"8,5",42.2
ARG,Argentina,2013,47,"",55,7.39,7,Cuyo,423,29.8,"9,1",15.9
ARG,Argentina,2017,73,"",57,9.76,7,Pampa Húmeda,759,27.7,"12,3",21.6
ARG,Argentina,2016,61,"",61,10.23,1,Pampa Húmeda,825,29.9,"13,7",22.4
ARG,Argentina,2011,19,"",64,17.26,1,Pampa Húmeda,1050,22.3,"3,6",16.9
ARG,Argentina,2020,71,"",83,9.9,9,Pampa Húmeda,442,18.3,5,12.4
ARG,Argentina,2014,20,"",40,11.81,5,Pampa Húmeda,731,29.2,"5,9",17.2
ARG,Argentina,2015,56,"",41,9.74,5,Pampa Húmeda,589,23.4,"6,3",16.8
ARG,Argentina,2012,70,"",72,7.69,5,Pampa Húmeda,518,25.8,"6,7",18.7
ARG,Argentina,2018,96,"",76,6.77,11,Pampa Húmeda,390,30.4,9,16
ARG,Argentina,2019,76,"",80,11.62,7,Patagonia,506,25.4,"1,2",12.1
ARG,Argentina,2017,51,"",78,10.49,1,Patagonia,827,29.7,"10,2",21.9
ARG,Argentina,2014,47,"",60,14.86,4,Patagonia,1273,34.5,"18,4",23.8
ARG,Argentina,2011,86,"",61,18.37,7,Patagonia,635,21.5,"2,1",9.6
ARG,Argentina,2012,76,"",42,21.27,0,Patagonia,1118,24.1,"6,6",14.6
ARG,Argentina,2020,26,"",71,10.58,5,Patagonia,617,29.4,"9,7",16.2
ARG,Argentina,2012,76,granizo,67,11.46,2,Cuyo,961,37.3,"10,1",23.3
ARG,Argentina,2019,18,helada_tardia,82,19.23,3,Pampa Húmeda,900,22,"3,4",13
ARG,Argentina,2013,44,helada_tardia,57,26.58,1,Patagonia,1129,23.1,"2,5",11.8
ARG,Argentina,2015,92,helada_tardia,56,28.77,2,Patagonia,1160,20.4,6,11.2
ARG,Argentina,2015,92,incendios,56,28.77,2,Patagonia,1160,20.4,6,11.2
ARG,Argentina,2013,17,ola_calor,70,18.21,0,Pampa Húmeda,1390,31.4,"9,9",21.2
ARG,Argentina,2018,40,ola_calor,80,12.95,2,Patagonia,1072,32.6,"10,1",23
ARG,Argentina,2016,88,ola_calor,55,17.67,2,Patagonia,1323,32,"10,4",20.8
ARG,Argentina,2018,40,sequia_extrema,80,12.95,2,Patagonia,1072,32.6,"10,1",23
ARG,Argentina,2013,44,sequia_extrema,57,26.58,1,Patagonia,1129,23.1,"2,5",11.8
ARG,Argentina,2013,17,sequia_moderada,70,18.21,0,Pampa Húmeda,1390,31.4,"9,9",21.2
ARG,Argentina,2013,44,sequia_severa,57,26.58,1,Patagonia,1129,23.1,"2,5",11.8
ARG,Argentina,2015,92,sequia_severa,56,28.77,2,Patagonia,1160,20.4,6,11.2
AUS,Australia,2018,87,"",56,4.8,6,Murray-Darling Basin,332,26,"10,9",19.2
AUS,Australia,2020,23,"",64,17.36,0,Murray-Darling Basin,1075,23.3,"11,8",17.2
AUS,Australia,2013,73,"",53,23.65,2,Murray-Darling Basin,1643,25,"12,3",19.3
AUS,Australia,2014,22,"",61,3.73,8,Murray-Darling Basin,281,25.9,"13,5",20.9
AUS,Australia,2016,48,"",66,17.31,2,Murray-Darling Basin,1178,28,"13,8",18.9
AUS,Australia,2019,11,"",52,14.33,2,Murray-Darling Basin,1037,26.2,"13,9",20.1
AUS,Australia,2011,49,"",59,12.24,0,Murray-Darling Basin,1040,33.9,"18,1",23.6
AUS,Australia,2017,84,"",48,25.28,3,Murray-Darling Basin,1374,20.5,"2,4",15.1
AUS,Australia,2012,87,"",63,39.76,4,Murray-Darling Basin,1646,21.7,"4,7",11.5
AUS,Australia,2013,84,"",50,9.78,3,Queensland Coast,732,27.8,"12,4",20.8
AUS,Australia,2012,69,"",46,21.85,2,Queensland Coast,1526,26.5,13,19.4
AUS,Australia,2020,119,"",63,20.46,1,Queensland Coast,1149,28.3,"4,7",15.6
AUS,Australia,2019,116,"",49,14.06,1,Queensland Coast,962,33.8,"7,4",19
AUS,Australia,2014,72,"",83,16.87,3,Queensland Coast,899,25.5,"8,1",14.8
AUS,Australia,2015,29,"",83,13.74,2,Wheatbelt,816,21.9,"2,5",16.5
AUS,Australia,2016,69,"",76,9.15,12,Wheatbelt,290,16,"'-2,5",8.8
AUS,Australia,2011,119,"",82,30.64,1,Wheatbelt,1103,19.4,"'-2,7",10
AUS,Australia,2017,87,"",55,28.61,2,Wheatbelt,1267,24.2,"3,4",12.3
