nombre,codigo,acuerdo_internacional_firmado,acuerdo_internacional_nombre,regulacion_anio_implementacion,regulacion_tipo,regulacion_vigente,subsidio_anio,subsidio_beneficiarios,subsidio_descripcion,subsidio_moneda,subsidio_monto,subsidio_tipo
Francia,FRA,false,Acuerdo_Mercosur,2011,rotacion_cultivos,false,2020,25642,Subsidio para agricultura organica,EUR,17658196,agricultura_organica
Francia,FRA,false,Acuerdo_Mercosur,2011,rotacion_cultivos,false,2019,20405,Subsidio para conservacion suelos,EUR,10667676,conservacion_suelos
Francia,FRA,false,Acuerdo_Mercosur,2011,rotacion_cultivos,false,2023,20541,Subsidio para expansion frontera agricola,EUR,1732427,expansion_frontera_agricola
Francia,FRA,false,Acuerdo_Mercosur,2011,rotacion_cultivos,false,2023,35308,Subsidio para fertilizantes,EUR,14082408,fertilizantes
Francia,FRA,false,Acuerdo_Mercosur,2017,uso_agua,true,2020,25642,Subsidio para agricultura organica,EUR,17658196,agricultura_organica
Francia,FRA,false,Acuerdo_Mercosur,2017,uso_agua,true,2019,20405,Subsidio para conservacion suelos,EUR,10667676,conservacion_suelos
Francia,FRA,false,Acuerdo_Mercosur,2017,uso_agua,true,2023,20541,Subsidio para expansion frontera agricola,EUR,1732427,expansion_frontera_agricola
Francia,FRA,false,Acuerdo_Mercosur,2017,uso_agua,true,2023,35308,Subsidio para fertilizantes,EUR,14082408,fertilizantes
Australia,AUS,false,Acuerdo_Paris,2018,deforestacion,true,2023,47770,Subsidio para fertilizantes,USD,49135190,fertilizantes
Australia,AUS,false,Acuerdo_Paris,2018,deforestacion,true,2022,34535,Subsidio para investigacion desarrollo,USD,3642845,investigacion_desarrollo
Australia,AUS,false,Acuerdo_Paris,2018,deforestacion,true,2021,5449,Subsidio para maquinaria,USD,5286773,maquinaria
Australia,AUS,false,Acuerdo_Paris,2015,reservas_legales,true,2023,47770,Subsidio para fertilizantes,USD,49135190,fertilizantes
Australia,AUS,false,Acuerdo_Paris,2015,reservas_legales,true,2022,34535,Subsidio para investigacion desarrollo,USD,3642845,investigacion_desarrollo
Australia,AUS,false,Acuerdo_Paris,2015,reservas_legales,true,2021,5449,Subsidio para maquinaria,USD,5286773,maquinaria
Argentina,ARG,false,Convenio_Biodiversidad,2013,etanol_mezcla,false,2023,10898,Subsidio para expansion frontera agricola,USD,12595066,expansion_frontera_agricola
Argentina,ARG,false,Convenio_Biodiversidad,2013,etanol_mezcla,false,2021,10823,Subsidio para fertilizantes,USD,32694726,fertilizantes
Argentina,ARG,false,Convenio_Biodiversidad,2013,etanol_mezcla,false,2019,7215,Subsidio para investigacion desarrollo,USD,15562206,investigacion_desarrollo
Argentina,ARG,false,Convenio_Biodiversidad,2013,etanol_mezcla,false,2021,1914,Subsidio para maquinaria,USD,25542386,maquinaria
Argentina,ARG,false,Convenio_Biodiversidad,2010,pesticidas_neonicotinoides,true,2023,10898,Subsidio para expansion frontera agricola,USD,12595066,expansion_frontera_agricola
Argentina,ARG,false,Convenio_Biodiversidad,2010,pesticidas_neonicotinoides,true,2021,10823,Subsidio para fertilizantes,USD,32694726,fertilizantes
