Fecha,Region,Pais,Cultivo,Severidad,Area afectada,Tratamiento aplicado,Eficacia,Perdida estimada,Plaga/Enfermedad,Plaga/Enfermedad detectada
30/08/2020,Murray-Darling Basin,Australia,Arroz,Media,1050ha,Químico (Clorantraniliprol),85%,34%,Plaga,Gusano cogollero
30/04/2020,California,Estados Unidos,Soja,Alta,1724ha,Biológico (Bacillus thuringiensis),70%,3%,Plaga,Ácaro
29/12/2021,Región Principal,Francia,Girasol,Crítica,4114ha,Químico (Imidacloprid),74%,23%,Plaga,Gusano cogollero
29/12/2020,Región Principal,China,Algodón,Baja,681ha,Físico (Control térmico),84%,30%,Plaga,Barrenador del tallo
29/09/2020,Región Principal,Francia,Cebada,Media,3854ha,Cultural (Rotación de cultivos),92%,33%,Plaga,Ácaro
28/11/2020,California,Estados Unidos,Soja,Baja,585ha,Cultural (Rotación de cultivos),87%,36%,Enfermedad,Piricularia
28/10/2021,Cerrado,Brasil,Maíz,Media,1233ha,Biológico (Trichogramma spp.),94%,23%,Plaga,Langosta
28/07/2021,Pampas,Brasil,Arroz,Crítica,945ha,Biológico (Nematodos entomopatógenos),84%,23%,Enfermedad,Roya de la hoja
28/07/2020,Queensland Coast,Australia,Maíz,Baja,543ha,Biológico (Trichogramma spp.),98%,24%,Plaga,Ácaro
28/05/2021,Tasmania,Australia,Maíz,Media,2552ha,Químico (Clorantraniliprol),73%,11%,Plaga,Pulgón
27/10/2021,Región Principal,Alemania,Algodón,Alta,1734ha,Químico (Epoxiconazole),74%,11%,Enfermedad,Fusarium
27/06/2021,Pampas,Brasil,Trigo,Alta,1189ha,Químico (Imidacloprid),72%,26%,Plaga,Langosta
27/06/2020,Coastal,India,Maíz,Crítica,369ha,Cultural (Rotación de cultivos),77%,23%,Enfermedad,Roya de la hoja
27/01/2021,Noroeste,Argentina,Caña de azúcar,Baja,3592ha,Cultural (Fecha de siembra ajustada),77%,19%,Enfermedad,Mildiu
27/01/2020,Corn Belt,Estados Unidos,Arroz,Baja,314ha,Físico (Barreras físicas),96%,31%,Plaga,Ácaro
26/10/2020,Región Principal,China,Arroz,Media,4081ha,Cultural (Rotación de cultivos),82%,32%,Plaga,Pulgón
25/11/2020,Región Principal,China,Maíz,Baja,3912ha,Físico (Barreras físicas),80%,9%,Plaga,Langosta
25/02/2020,Región Principal,Francia,Girasol,Alta,3839ha,Cultural (Fecha de siembra ajustada),74%,33%,Plaga,Ácaro
25/01/2020,Pampas,Brasil,Arroz,Alta,2222ha,Biológico (Nematodos entomopatógenos),88%,32%,Enfermedad,Podredumbre
24/10/2020,Great Plains,Estados Unidos,Cebada,Alta,1684ha,Físico (Control térmico),86%,13%,Plaga,Pulgón
23/05/2020,Pampa Húmeda,Argentina,Caña de azúcar,Baja,2105ha,Físico (Barreras físicas),94%,36%,Plaga,Pulgón
23/04/2021,Noroeste,Argentina,Girasol,Media,3577ha,Químico (Epoxiconazole),97%,39%,Plaga,Oruga militar tardía
23/02/2021,Mata Atlántica,Brasil,Caña de azúcar,Media,2022ha,Biológico (Trichogramma spp.),97%,12%,Enfermedad,Roya de la hoja
23/01/2020,Patagonia,Argentina,Soja,Media,995ha,Biológico (Trichogramma spp.),75%,2%,Plaga,Langosta
22/09/2021,Región Principal,Francia,Girasol,Alta,828ha,Biológico (Nematodos entomopatógenos),72%,4%,Plaga,Mosca blanca
22/08/2020,Región Principal,China,Té,Alta,2006ha,Físico (Trampas de feromonas),76%,32%,Plaga,Chinche marrón
22/04/2020,Región Principal,Francia,Algodón,Media,1552ha,Biológico (Nematodos entomopatógenos),95%,8%,Plaga,Langosta
22/03/2021,California,Estados Unidos,Arroz,Crítica,2023ha,Físico (Trampas de feromonas),92%,9%,Plaga,Mosca blanca
22/02/2020,Región Principal,Francia,Soja,Media,3067ha,Cultural (Control manual),87%,36%,Plaga,Langosta
21/11/2020,Región Principal,Alemania,Maíz,Crítica,3735ha,Cultural (Control manual),88%,28%,Plaga,Mosca blanca
21/08/2021,Región Principal,China,Cebada,Media,1803ha,Químico (Epoxiconazole),98%,11%,Enfermedad,Podredumbre
21/07/2020,Noroeste,Argentina,Caña de azúcar,Baja,4312ha,Cultural (Control manual),87%,8%,Plaga,Ácaro
